Machine_ID,Temperature,Run_Time,Downtime_Flag
Machine_50,110.21,7.52,0
Machine_42,82.02,19.17,1
Machine_30,77.38,23.23,0
Machine_19,69.11,20.56,0
Machine_17,83.37,2.82,0
Machine_19,53.11,17.75,0
Machine_28,109.65,7.67,1
Machine_26,52.48,23.72,0
Machine_37,73.03,11.65,0
Machine_26,115.21,2.94,0
Machine_23,101.46,17.4,0
Machine_9,69.7,7.75,0
Machine_12,67.69,23.93,0
Machine_1,50.36,23.51,0
Machine_1,98.7,15.75,1
Machine_47,53.41,3.12,0
Machine_34,87.28,16.48,0
Machine_32,117.35,2.23,0
Machine_48,57.66,0.7,0
Machine_25,112.61,19.75,0
Machine_40,119.4,5.03,0
Machine_45,54.31,9.1,0
Machine_1,111.8,23.36,1
Machine_16,86.13,8.08,0
Machine_39,113.46,7.12,0
Machine_5,89.99,22.04,0
Machine_22,96.35,2.66,0
Machine_29,88.06,18.23,0
Machine_3,110.51,23.71,0
Machine_12,101.37,21.63,1
Machine_26,86.49,15.64,1
Machine_16,110.77,7.54,1
Machine_37,67.17,6.1,0
Machine_22,61.01,19.66,0
Machine_29,61.23,21.12,0
Machine_14,73.38,12.61,1
Machine_28,66.71,5.86,0
Machine_5,115.11,2.71,1
Machine_47,57.41,2.09,0
Machine_49,98.93,17.26,0
Machine_30,63.25,10.08,0
Machine_46,111.71,21.73,0
Machine_5,117.29,17.75,0
Machine_12,82.58,4.59,0
Machine_16,111.54,14.73,0
Machine_26,50.36,10.45,0
Machine_26,107.4,13.85,0
Machine_48,66.0,17.71,0
Machine_21,113.61,19.35,0
Machine_39,50.08,20.25,0
Machine_36,88.93,6.1,0
Machine_33,102.96,0.75,0
Machine_30,68.11,17.74,0
Machine_37,63.52,2.55,0
Machine_23,55.89,7.56,0
Machine_10,72.85,0.09,0
Machine_5,89.19,16.36,1
Machine_36,58.11,4.01,0
Machine_34,76.37,15.73,0
Machine_31,50.64,23.8,0
Machine_10,107.31,1.74,1
Machine_19,58.99,1.85,0
Machine_32,69.83,8.17,0
Machine_1,51.29,20.79,1
Machine_5,80.26,5.17,0
Machine_45,108.81,8.65,1
Machine_4,77.45,1.64,0
Machine_16,62.56,18.32,1
Machine_24,102.76,9.8,0
Machine_16,105.22,18.22,0
Machine_2,62.16,21.69,0
Machine_49,103.96,5.59,0
Machine_28,116.31,19.38,0
Machine_32,61.65,1.42,1
Machine_27,103.97,21.57,1
Machine_20,99.6,15.62,0
Machine_24,83.15,20.98,1
Machine_12,54.05,0.0,0
Machine_50,55.23,4.06,0
Machine_35,109.67,9.35,0
Machine_33,119.31,9.11,0
Machine_33,97.32,5.44,0
Machine_43,81.22,9.16,0
Machine_37,95.33,3.09,1
Machine_12,91.61,9.91,0
Machine_3,76.85,19.26,1
Machine_1,54.59,11.5,0
Machine_33,107.51,0.43,0
Machine_40,76.03,10.11,0
Machine_10,107.31,0.65,1
Machine_43,67.68,23.19,0
Machine_44,50.07,3.06,0
Machine_29,61.13,16.98,0
Machine_13,82.8,23.35,0
Machine_12,116.1,19.82,0
Machine_31,57.15,16.78,0
Machine_46,109.79,20.15,0
Machine_2,86.89,23.56,0
Machine_50,107.81,14.91,0
Machine_35,70.89,13.42,0
Machine_23,108.8,15.08,0
Machine_17,104.1,12.78,0
Machine_26,66.1,15.24,1
Machine_8,59.19,10.8,0
Machine_29,110.76,5.24,0
Machine_26,117.43,2.89,0
Machine_10,52.19,1.64,0
Machine_26,101.19,6.32,0
Machine_34,113.67,1.11,0
Machine_41,110.02,13.61,0
Machine_7,117.52,6.81,1
Machine_4,103.21,19.79,0
Machine_50,80.96,1.78,0
Machine_45,71.84,5.43,0
Machine_11,72.45,17.53,0
Machine_29,100.71,14.37,0
Machine_36,102.21,1.55,0
Machine_25,64.03,21.05,0
Machine_21,110.77,21.05,0
Machine_36,100.04,7.93,0
Machine_10,89.39,8.17,0
Machine_37,83.01,23.74,0
Machine_9,88.03,15.03,0
Machine_24,61.15,12.75,1
Machine_35,64.26,20.12,0
Machine_49,56.38,6.85,0
Machine_35,60.76,10.3,1
Machine_48,81.76,6.43,0
Machine_36,87.12,18.94,0
Machine_18,51.25,13.76,0
Machine_49,105.78,15.81,0
Machine_39,70.59,6.06,0
Machine_32,113.83,5.29,0
Machine_24,117.73,11.72,0
Machine_23,62.98,17.7,0
Machine_32,82.35,12.61,1
Machine_37,50.09,0.78,0
Machine_12,91.88,20.85,0
Machine_49,92.51,1.55,1
Machine_13,67.33,22.94,0
Machine_23,89.09,0.6,1
Machine_25,65.79,16.67,0
Machine_35,61.26,1.97,0
Machine_41,95.61,21.86,0
Machine_30,72.81,11.15,0
Machine_17,91.32,3.3,0
Machine_49,80.33,8.18,1
Machine_20,118.9,3.96,0
Machine_48,60.47,4.09,0
Machine_25,82.52,22.75,1
Machine_22,97.63,10.69,0
Machine_13,77.69,18.93,0
Machine_19,118.23,15.35,1
Machine_49,100.53,16.23,0
Machine_36,95.99,3.16,0
Machine_12,102.99,5.62,1
Machine_41,116.69,18.88,0
Machine_19,113.55,23.3,0
Machine_12,100.7,6.3,0
Machine_9,102.44,6.52,0
Machine_7,60.21,11.35,1
Machine_28,57.2,23.61,0
Machine_14,89.96,6.46,0
Machine_31,51.29,9.77,0
Machine_19,83.76,21.4,0
Machine_47,64.72,0.07,0
Machine_16,74.22,0.95,1
Machine_5,104.31,14.5,0
Machine_35,115.89,21.78,0
Machine_12,55.07,5.73,0
Machine_25,87.4,11.27,0
Machine_21,111.78,10.81,0
Machine_36,55.78,11.35,0
Machine_23,107.72,14.94,0
Machine_16,75.05,11.27,0
Machine_39,72.55,10.74,0
Machine_45,118.42,11.38,0
Machine_42,64.06,14.18,0
Machine_39,98.52,12.89,0
Machine_14,107.5,20.5,1
Machine_31,52.88,1.19,0
Machine_5,96.93,20.0,1
Machine_35,116.61,20.25,0
Machine_23,58.7,6.84,0
Machine_29,112.74,11.11,1
Machine_43,91.63,10.52,0
Machine_11,93.16,5.24,1
Machine_18,92.91,9.52,0
Machine_47,70.92,1.07,0
Machine_12,115.46,6.67,0
Machine_9,116.31,19.6,0
Machine_10,93.77,6.83,0
Machine_44,104.84,19.64,0
Machine_17,92.86,12.76,0
Machine_38,83.91,21.12,0
Machine_7,96.26,13.79,0
Machine_46,88.71,0.71,0
Machine_13,91.82,16.21,1
Machine_40,104.87,1.08,0
Machine_42,83.66,10.81,1
Machine_9,52.85,22.31,1
Machine_50,61.48,3.96,0
Machine_27,80.7,9.36,0
Machine_2,100.74,17.52,0
Machine_5,91.53,21.17,0
Machine_29,95.52,16.1,0
Machine_37,83.55,6.2,0
Machine_38,93.1,16.19,0
Machine_19,73.03,7.12,0
Machine_8,82.91,17.24,0
Machine_48,102.1,22.9,0
Machine_45,111.03,17.31,0
Machine_1,80.36,20.71,0
Machine_22,53.06,0.05,0
Machine_17,61.32,17.22,0
Machine_7,51.46,19.91,0
Machine_25,95.73,0.97,0
Machine_45,73.26,20.92,0
Machine_4,87.97,6.16,0
Machine_36,84.53,15.97,0
Machine_6,55.71,19.21,0
Machine_31,78.23,15.9,0
Machine_19,65.44,2.21,0
Machine_44,79.29,14.31,0
Machine_39,64.25,13.19,0
Machine_27,108.83,21.61,1
Machine_10,62.19,9.7,0
Machine_26,117.25,7.71,0
Machine_19,79.11,18.0,0
Machine_39,109.24,9.9,0
Machine_3,94.01,15.51,0
Machine_45,101.47,15.51,0
Machine_13,103.74,21.31,0
Machine_50,85.34,14.37,0
Machine_28,88.03,12.05,0
Machine_20,85.98,3.33,1
Machine_28,91.16,2.78,1
Machine_8,52.06,3.7,0
Machine_41,77.69,4.12,0
Machine_39,92.43,15.31,0
Machine_1,91.84,17.78,0
Machine_3,105.51,12.72,0
Machine_13,95.85,19.9,0
Machine_28,119.45,23.79,0
Machine_49,69.87,19.68,1
Machine_25,75.14,16.68,0
Machine_33,76.87,12.78,0
Machine_38,82.61,10.77,0
Machine_6,108.52,2.03,0
Machine_44,66.51,9.58,0
Machine_45,104.32,21.84,0
Machine_32,78.37,19.39,0
Machine_45,92.13,5.19,1
Machine_47,94.28,11.2,0
Machine_21,76.1,19.6,0
Machine_16,85.88,1.62,0
Machine_21,78.91,9.3,1
Machine_11,54.84,20.44,0
Machine_37,80.6,9.69,0
Machine_36,56.82,1.86,1
Machine_35,78.35,13.02,0
Machine_19,91.5,20.68,1
Machine_20,90.56,14.17,0
Machine_18,96.38,5.43,0
Machine_47,56.67,9.22,0
Machine_41,95.65,10.8,0
Machine_49,71.85,13.9,0
Machine_14,77.93,18.22,0
Machine_15,110.06,2.37,0
Machine_31,50.63,21.35,0
Machine_1,91.19,0.3,1
Machine_3,91.91,8.88,1
Machine_16,77.77,0.66,0
Machine_23,66.59,9.43,1
Machine_11,66.43,12.62,0
Machine_12,111.86,12.28,0
Machine_10,80.94,3.98,0
Machine_32,73.16,15.5,0
Machine_16,81.41,1.07,0
Machine_8,96.86,18.29,0
Machine_38,60.2,22.72,0
Machine_12,81.46,8.15,0
Machine_24,91.15,12.41,0
Machine_28,116.4,9.09,1
Machine_8,67.68,0.16,0
Machine_28,75.15,9.26,1
Machine_36,76.56,19.0,1
Machine_26,92.39,14.3,1
Machine_8,74.97,2.43,1
Machine_50,87.35,20.33,1
Machine_28,104.73,12.75,0
Machine_28,99.38,20.2,0
Machine_37,81.25,13.93,0
Machine_41,110.5,13.43,0
Machine_36,89.07,2.53,0
Machine_27,87.79,4.02,0
Machine_17,52.39,23.33,1
Machine_9,119.07,5.48,1
Machine_33,58.61,23.46,1
Machine_20,66.18,12.77,0
Machine_13,53.62,3.26,0
Machine_28,94.8,2.38,0
Machine_48,65.73,5.01,0
Machine_29,62.6,22.22,0
Machine_13,56.2,9.94,0
Machine_46,57.23,9.49,1
Machine_35,90.93,7.52,0
Machine_6,98.17,3.53,0
Machine_18,77.82,11.71,0
Machine_5,83.59,3.12,0
Machine_47,98.02,20.05,0
Machine_25,51.22,8.89,1
Machine_2,72.62,9.0,0
Machine_10,118.12,11.38,0
Machine_30,90.61,10.66,0
Machine_50,67.8,23.88,0
Machine_45,86.52,13.09,0
Machine_5,73.99,2.12,0
Machine_33,87.26,14.57,0
Machine_1,58.8,3.64,0
Machine_18,59.29,0.74,0
Machine_32,60.05,23.3,0
Machine_47,115.79,18.56,1
Machine_49,101.3,23.52,0
Machine_11,61.37,11.47,0
Machine_21,63.18,12.77,0
Machine_26,101.16,4.04,0
Machine_25,60.93,5.93,0
Machine_22,66.42,20.13,0
Machine_27,117.43,8.55,0
Machine_49,67.87,19.84,1
Machine_13,96.31,17.02,0
Machine_33,118.5,4.25,1
Machine_34,76.2,12.18,0
Machine_41,51.23,16.26,1
Machine_35,67.09,5.64,1
Machine_1,108.16,19.94,0
Machine_21,110.52,13.08,1
Machine_48,103.8,3.97,0
Machine_6,57.92,13.99,1
Machine_28,105.69,23.99,0
Machine_17,114.31,3.61,0
Machine_5,92.04,19.6,0
Machine_31,115.86,4.98,1
Machine_5,107.88,18.78,0
Machine_38,96.69,17.63,0
Machine_3,90.4,7.21,0
Machine_23,74.4,7.82,1
Machine_37,61.15,19.02,0
Machine_37,92.35,11.07,0
Machine_10,72.27,17.54,0
Machine_10,110.65,3.55,0
Machine_19,119.53,20.46,0
Machine_17,102.67,17.06,1
Machine_21,56.33,21.77,0
Machine_14,70.21,3.18,0
Machine_9,57.64,14.23,0
Machine_46,95.54,14.38,0
Machine_1,103.56,8.48,0
Machine_45,114.8,11.0,0
Machine_13,80.67,0.91,0
Machine_4,113.1,17.9,1
Machine_1,111.45,13.18,0
Machine_49,72.2,1.39,1
Machine_40,110.82,16.34,1
Machine_32,76.3,11.2,0
Machine_34,70.78,0.83,1
Machine_28,95.44,23.27,0
Machine_31,72.99,22.78,0
Machine_8,94.11,12.31,0
Machine_39,92.69,2.25,0
Machine_26,89.44,18.11,0
Machine_34,76.63,11.81,0
Machine_3,88.39,7.26,0
Machine_50,91.75,11.79,0
Machine_12,88.2,12.54,1
Machine_1,81.11,13.51,0
Machine_44,51.03,10.59,0
Machine_5,91.09,14.54,0
Machine_30,61.79,22.05,0
Machine_30,94.98,8.69,0
Machine_17,103.15,17.42,1
Machine_48,85.03,21.47,0
Machine_47,87.97,10.94,0
Machine_23,116.6,10.64,1
Machine_15,109.3,14.45,1
Machine_37,114.0,14.19,0
Machine_21,106.96,19.36,0
Machine_14,57.62,11.44,0
Machine_2,60.43,23.91,0
Machine_11,86.86,1.43,0
Machine_39,67.22,0.08,0
Machine_38,83.37,15.36,1
Machine_34,77.61,7.16,0
Machine_38,88.46,5.77,0
Machine_50,102.28,7.49,0
Machine_34,100.08,6.15,0
Machine_18,86.49,0.74,0
Machine_30,107.57,23.32,0
Machine_15,80.16,5.3,1
Machine_27,112.77,17.62,0
Machine_34,54.99,18.3,0
Machine_38,116.83,22.3,0
Machine_33,95.83,0.73,0
Machine_24,76.61,20.93,0
Machine_15,63.8,12.65,0
Machine_30,83.54,15.18,0
Machine_42,63.62,15.47,1
Machine_17,61.64,19.68,0
Machine_5,93.21,8.0,0
Machine_29,86.62,17.59,0
Machine_4,96.91,12.69,1
Machine_10,115.07,19.04,0
Machine_17,87.26,23.77,0
Machine_10,90.67,4.82,0
Machine_17,56.27,23.87,0
Machine_20,100.23,2.16,0
Machine_24,77.99,0.06,0
